Job Title,Job Location,Company,Estimate Base Salary,Low Estimate,High Estimate,Company Size,Company Type,Company Sector,Company Industry,Company Revenue,Company Rating,Company Friend Reccomendation,Companny Number of Rater,Company Career Opportinities,Compensation and Benefits,Company Culture and Values,Company Senior Management,Company Work Life Balance,State,python_yn,r_yn,sql_yn,java_yn,julia_yn,scala_yn,c_yn,c++_yn,javascript_yn,spark_yn,hadoop_yn,matlab_yn,sas_yn,git_yn,excel_yn,nosql_yn,aws_yn,mongodb_yn,cassandra_yn,hive_yn,bigml_yn,tableau_yn,powerbi_yn,nlp_yn,pytorch_yn,tensorflow_yn,mathematic_yn,statistic_yn
Data Engineer Manager,Perth,Deloitte,143594,132000,156000,10000+ Employees,Company - Private,Finance,Accounting & Tax,$10+ billion (USD),4.0,82.0,10725.0,4.1,3.6,4.0,3.7,3.2,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Associate Lecturer,Perth,Curtin University of Technology,94730,91000,98000,1001 to 5000 Employees,College / University,Education,Colleges & Universities,$500 million to $1 billion (USD),4.1,88.0,62.0,3.6,4.1,4.0,3.6,3.9,Western Australia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lead Data Specialist,Perth,Accenture,152391,128000,182000,10000+ Employees,Company - Public,Management & Consulting,Business Consulting,$10+ billion (USD),3.9,76.0,245.0,4.0,3.4,3.8,3.4,3.2,Western Australia,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Business Analyst,Perth,IBM,92856,78000,110000,10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,$10+ billion (USD),4.1,84.0,9121.0,4.0,3.5,4.1,3.6,4.1,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Geologist,Leonora,St Barbara Australia Operations,156691,144000,171000,51 to 200 Employees,Company - Public,"Energy, Mining, Utilities",Mining & Metals,$500 million to $1 billion (USD),3.4,34.0,4.0,2.9,3.5,3.1,2.6,3.1,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Jandakot,Schlumberger,135861,108000,171000,10000+ Employees,Company - Public,"Energy, Mining, Utilities",Energy & Utilities,$10+ billion (USD),3.4,58.0,2190.0,3.8,3.9,3.8,3.4,3.1,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Professional Services Consultant,Perth,ERM Group,87078,82000,92000,5001 to 10000 Employees,Company - Private,Management & Consulting,Business Consulting,$500 million to $1 billion (USD),3.7,72.0,20.0,3.6,3.1,3.8,3.4,3.4,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Program Manager,Perth,Curtin University of Technology,107223,104000,111000,1001 to 5000 Employees,College / University,Education,Colleges & Universities,$500 million to $1 billion (USD),4.1,88.0,62.0,3.6,4.1,4.0,3.6,3.9,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research Fellow,Perth,Curtin University of Technology,112617,103000,122000,1001 to 5000 Employees,College / University,Education,Colleges & Universities,$500 million to $1 billion (USD),4.1,88.0,62.0,3.6,4.1,4.0,3.6,3.9,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Specialist,Perth,Fugro,120494,89000,164000,10000+ Employees,Company - Public,"Construction, Repair & Maintenance Services",Architectural & Engineering Services,$2 to $5 billion (USD),4.1,88.0,558.0,3.3,3.1,3.5,2.9,3.4,Western Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
